user_id,item_id,pred_rating,title,genres
196,416,4.786040261671139,Old Yeller (1957),"Children’s, Drama"
196,64,4.658976882505815,"Shawshank Redemption, The (1994)",Drama
196,374,4.635855970266317,Mighty Morphin Power Rangers: The Movie (1995),"Action, Children’s"
196,286,4.632738586083658,"English Patient, The (1996)","Drama, Romance, War"
196,50,4.5958089766951975,Star Wars (1977),"Action, Adventure, Romance, Sci-Fi, War"
196,379,4.589816898675963,Tales From the Crypt Presents: Demon Knight (1995),Horror
196,434,4.582587618607417,Forbidden Planet (1956),Sci-Fi
196,320,4.550954057600424,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
196,430,4.536730092599572,Duck Soup (1933),"Comedy, War"
196,398,4.536556853432572,Super Mario Bros. (1993),"Action, Adventure, Children’s, Sci-Fi"
186,351,4.764642897506841,"Prophecy II, The (1998)",Horror
186,378,4.715295909395153,Miracle on 34th Street (1994),Drama
186,296,4.701172192110871,"Promesse, La (1996)",Drama
186,397,4.675769215530977,Striking Distance (1993),Action
186,441,4.668272857762937,"Amityville Horror, The (1979)",Horror
186,460,4.620759258042785,"Crossing Guard, The (1995)",Drama
186,320,4.59564577379164,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
186,365,4.5939991204682835,Powder (1995),Drama
186,434,4.584162124035678,Forbidden Planet (1956),Sci-Fi
186,435,4.5459723937670455,Butch Cassidy and the Sundance Kid (1969),"Action, Comedy, Western"
22,50,5.0,Star Wars (1977),"Action, Adventure, Romance, Sci-Fi, War"
22,56,5.0,Pulp Fiction (1994),"Crime, Drama"
22,174,5.0,Raiders of the Lost Ark (1981),"Action, Adventure"
22,286,5.0,"English Patient, The (1996)","Drama, Romance, War"
22,318,5.0,Schindler's List (1993),"Drama, War"
22,425,5.0,Bob Roberts (1992),Comedy
22,467,5.0,"Bronx Tale, A (1993)",Drama
22,475,5.0,Trainspotting (1996),Drama
22,533,5.0,"Daytrippers, The (1996)",Mystery
22,64,4.962505187199783,"Shawshank Redemption, The (1994)",Drama
244,361,5.0,Incognito (1997),"Crime, Thriller"
244,56,4.869996975785903,Pulp Fiction (1994),"Crime, Drama"
244,238,4.789668551407139,Raising Arizona (1987),Comedy
244,344,4.768892216537251,"Apostle, The (1997)",Drama
244,314,4.736216305589074,3 Ninjas: High Noon At Mega Mountain (1998),"Action, Children’s"
244,441,4.66754043217021,"Amityville Horror, The (1979)",Horror
244,337,4.660483758496868,"House of Yes, The (1997)","Comedy, Drama, Thriller"
244,353,4.650838859523947,Deep Rising (1998),"Action, Horror, Sci-Fi"
244,305,4.640340214638939,"Ice Storm, The (1997)",Drama
244,42,4.6332323629149,Clerks (1994),Comedy
166,296,4.803868508754526,"Promesse, La (1996)",Drama
166,424,4.723887398513046,Children of the Corn: The Gathering (1996),Horror
166,374,4.7137642991479005,Mighty Morphin Power Rangers: The Movie (1995),"Action, Children’s"
166,320,4.674606346779557,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
166,251,4.673115627120322,Shall We Dance? (1996),Comedy
166,329,4.667799728085235,Desperate Measures (1998),"Crime, Drama, Thriller"
166,437,4.656883802138952,Amityville 1992: It's About Time (1992),Horror
166,457,4.650384027150894,Free Willy 3: The Rescue (1997),"Adventure, Children’s, Drama"
166,336,4.628252828449054,Playing God (1997),"Crime, Thriller"
166,348,4.58489857552442,Desperate Measures (1998),"Crime, Drama, Thriller"
298,318,4.925636064045771,Schindler's List (1993),"Drama, War"
298,64,4.791431170941385,"Shawshank Redemption, The (1994)",Drama
298,416,4.738583062706473,Old Yeller (1957),"Children’s, Drama"
