user_id,item_id,rating
103,34,4
436,1372,4
861,95,4
271,1096,4
107,1575,4
72,154,4
701,250,4
21,674,3
615,438,4
122,118,2
467,771,5
215,1330,4
331,268,1
459,1078,4
88,236,2
373,389,2
100,990,4
872,763,2
664,401,4
131,624,4
662,767,3
309,1327,1
770,919,2
344,1231,3
492,1253,5
414,853,4
806,578,2
386,75,4
192,435,3
277,103,4
161,1446,1
460,764,4
314,738,3
22,806,5
253,1330,2
748,98,4
857,798,5
561,1359,1
475,859,5
59,435,4
511,447,1
682,1332,2
476,249,4
700,166,1
783,1505,3
190,984,2
687,1359,3
563,1020,1
876,542,4
567,759,5
244,1130,5
832,1587,4
505,81,2
131,133,4
485,797,1
819,900,1
647,138,2
21,184,3
841,1425,4
167,1354,4
274,785,3
388,1532,2
601,984,5
316,69,3
14,546,3
242,53,2
777,1474,4
346,205,4
565,126,2
898,43,1
340,111,4
92,761,4
367,1207,2
455,848,5
428,95,2
509,1398,3
776,1544,5
943,900,3
35,360,4
206,900,3
81,281,2
932,1219,5
562,1219,3
872,667,5
388,93,2
2,672,2
390,61,1
566,634,4
106,1075,2
772,1427,4
822,1029,3
477,1490,5
703,604,2
402,682,4
730,534,4
556,1429,4
162,838,4
202,1537,4
270,645,4
863,233,2
816,524,1
271,346,5
456,1070,3
462,546,4
727,1102,3
252,1097,1
702,794,2
296,249,4
725,47,3
720,1145,2
749,214,3
338,239,1
879,1080,3
53,350,2
792,107,4
922,831,2
217,48,3
764,1597,1
188,337,1
380,1050,3
493,804,3
41,1281,3
157,8,2
15,625,4
813,1277,4
65,719,4
857,303,1
839,639,3
521,56,1
344,726,2
129,526,5
648,474,2
472,28,3
63,78,3
139,1240,4
499,1410,3
593,365,1
392,666,2
675,526,3
419,699,1
289,1336,2
379,883,1
773,1031,1
490,1027,3
231,1647,2
41,919,3
28,750,4
135,363,4
201,1532,2
840,1298,2
780,1530,1
930,806,4
33,739,4
48,1039,1
503,1216,5
407,1655,1
574,485,3
728,28,4
805,714,4
99,1063,4
684,1297,4
872,1255,2
726,86,4
547,1498,1
739,126,5
613,812,3
943,537,4
462,145,3
643,1549,4
769,1236,3
5,25,4
218,1604,1
503,1418,1
767,67,2
398,233,2
871,109,4
795,1170,2
393,111,5
207,228,2
15,111,2
858,1494,4
554,34,4
892,623,3
461,1393,3
691,748,4
575,595,2
864,1578,5
743,425,5
241,613,4
564,1542,2
96,692,4
900,1306,1
734,1344,1
485,1467,2
407,315,3
231,877,4
749,1401,4
655,1313,4
171,1461,3
541,662,2
36,277,2
525,1606,5
160,1527,1
839,624,4
699,516,3
243,1374,3
86,843,4
796,1470,3
578,350,4
682,1631,5
557,823,3
574,1161,2
646,759,3
796,899,5
28,243,2
620,543,3
556,1064,4
340,229,4
798,548,2
331,920,4
640,1247,5
506,6,2
348,1346,2
473,468,5
231,75,2
190,4,4
225,646,3
385,118,2
377,881,4
283,1630,3
633,504,3
628,947,2
745,574,3
259,1465,2
359,194,3
710,847,5
456,715,2
411,1416,4
649,1050,2
318,1459,4
677,173,2
225,1324,5
819,1669,3
234,326,2
684,1434,1
664,1142,2
827,836,3
374,724,2
672,225,4
608,532,3
472,113,2
233,140,3
692,559,4
113,1,2
830,90,2
497,654,1
442,320,4
564,1574,4
268,139,3
510,1535,4
807,845,4
386,259,3
387,902,4
113,690,2
613,10,1
625,261,2
81,1674,1
699,172,3
113,898,5
2,13,1
642,1192,1
220,1666,3
566,1620,5
855,321,2
736,1343,3
225,1637,1
385,329,2
403,785,5
638,777,5
130,911,1
53,1574,5
684,1443,4
730,1630,4
672,1119,3
710,1605,3
416,318,3
247,236,4
836,334,2
439,376,1
203,1483,2
184,1161,4
123,588,2
401,1571,4
767,513,5
294,1320,1
280,1344,4
837,918,3
884,1596,4
610,1373,2
198,873,4
907,1253,4
511,270,5
752,798,4
144,1315,3
609,725,3
201,1189,4
124,5,3
187,851,1
326,1403,5
464,78,4
349,1434,4
771,574,2
660,132,4
764,601,3
932,1066,4
403,89,1
346,402,4
511,296,5
147,1319,1
148,616,5
864,1550,3
711,800,4
820,1661,4
489,422,3
929,1047,4
936,575,5
640,143,3
551,993,2
338,665,4
872,145,4
641,1249,4
779,1007,4
473,503,3
151,821,4
415,1640,1
298,104,3
611,1063,1
263,198,2
764,1670,2
144,579,3
346,391,4
624,1203,3
572,554,3
881,1472,2
2,1524,2
897,1039,2
304,1647,1
254,1313,3
652,478,4
453,1255,3
37,923,3
160,420,3
9,157,4
233,550,3
99,1465,3
659,1121,1
816,1021,2
208,997,3
131,1435,3
404,951,3
152,289,3
54,1278,3
120,196,4
673,598,4
920,1546,4
628,517,5
587,1659,1
625,865,2
420,1142,1
422,806,4
104,1183,5
852,815,2
254,228,5
227,216,1
112,948,5
510,15,2
473,1181,1
99,1672,3
153,1285,2
861,1181,2
914,47,2
896,324,4
878,844,3
338,130,2
706,1435,3
822,95,4
163,627,2
720,755,3
681,1316,1
161,794,2
580,1307,4
801,69,2
398,11,3
277,1278,4
816,872,1
916,550,3
504,1158,2
896,712,5
392,23,3
135,815,4
195,346,3
401,302,1
640,363,4
33,396,5
688,218,3
460,141,4
883,1640,5
470,958,2
375,1234,2
22,985,3
750,993,3
670,1647,4
38,1640,5
230,828,2
365,683,2
563,1484,4
438,1004,2
776,356,4
283,1008,3
27,1348,4
226,1157,1
277,888,3
798,127,3
609,1130,3
284,1009,2
879,604,4
481,1402,4
453,1014,2
829,51,1
816,1053,1
659,1486,4
516,1320,3
547,1321,3
192,779,2
49,1431,3
512,814,3
17,1637,3
172,1429,5
220,1370,2
158,1646,4
477,420,3
46,1206,3
373,983,4
518,825,4
99,1025,5
892,567,2
745,371,1
37,936,4
280,661,3
349,1455,2
497,969,1
302,1333,1
181,1161,5
607,202,2
99,1460,2
700,313,2
116,117,2
191,937,1
253,575,3
928,244,1
161,537,4
256,1626,2
323,75,3
128,386,5
18,1234,4
793,475,3
735,418,2
566,347,2
570,1553,4
323,640,5
872,939,4
686,955,3
792,876,4
626,763,3
288,1203,1
943,1206,3
854,664,5
663,25,2
639,1204,4
155,710,2
490,1525,3
386,1185,1
785,177,3
104,285,4
929,63,2
393,1003,4
811,662,4
246,666,5
176,156,2
39,1493,3
477,1073,2
682,967,5
759,849,5
538,1108,3
867,1385,4
818,689,3
921,148,3
408,1654,1
525,342,4
828,476,2
506,1087,4
903,1384,4
825,561,4
36,327,1
685,1165,2
20,990,2
321,215,2
776,435,1
512,952,5
400,723,3
654,1342,2
883,32,3
471,670,3
143,285,3
92,1329,3
354,429,5
834,1501,3
800,286,5
727,1168,4
854,1448,2
51,1043,5
665,18,1
698,769,4
575,590,3
190,1395,5
125,1199,4
150,1010,4
314,194,4
570,502,2
342,988,1
305,1137,3
692,114,2
682,1246,4
838,947,2
783,831,5
54,1668,4
444,1288,4
613,925,2
264,55,4
53,1667,5
572,800,3
620,778,3
5,1482,4
103,162,2
196,1404,3
774,87,3
877,55,2
884,1500,2
350,1202,1
47,1415,1
867,1373,2
823,1032,5
936,833,3
820,313,5
656,759,3
269,443,2
370,328,3
636,1078,3
106,761,1
670,1263,4
